,base_new,base_lat,transl,POS
1739,булуттидюр,buluttiďur,заждавшись.темноты,cvb
13536,чуптас,čuptas,выдернув,cvb
4002,дялукан,ďalukan,досыта,cvb
2975,дёлатника̄н,ďolatnikan,кидаясь.камнями,cvb
3343,дукми,dukmi,если.напишешь,cvb
2645,гэрбэтми,gerbetmi,думая,cvb
2276,гирканика̄н,girkanikan,шагая,cvb
6221,көлтэс,kөltes,отломав,cvb
6244,көӈдэс,kөŋdes,отломав.сразу,cvb
6651,кэнрэс,kenres,разрезав.поперек,cvb
5890,киӈэс,kiŋes,переломившись.моментально,cvb
6029,колкас,kolkas,отколовшись,cvb
8389,нӯбилгуриди,nubilguriďi,окурив.дымом,cvb
10364,па̄яриди,pajariďi,сделав.закупорку,cvb
10787,таӈаланни,taŋalanni,умеющий.читать,cvb
11486,тулдас,tuldas,вырвав,cvb
12239,улрэс,ulres,отломившись,cvb
10091,өмэн-тэ,өmente,все.равно,det
1118,ачурми,ačurmi,своя.часть.покрышки.юрты,det
261,а̄дин,aďin,некоторый,det
276,адыӈра,adɨŋra,какое,det
323,айкаг,ajkag,все,det
621,амму,ammu,мой.отец,det
1989,бя̄гтанна,b'agtanna,каждый,det
1186,бадикартан,baďikartan,каждое.утро,det
1906,бэйтэн,bejten,каждой,det
1928,бэкэччөн,bekeččөn,все.целиком,det
1747,бумӈадюр,bumŋaďur,все,det
1748,бумӈундяван,bumŋunďawan,все.до.единого,det
13607,чэ̄лэди,čeleďi,все,det
13609,чэ̄лэдюр,čeleďur,все,det
13610,чэ̄лэмэкэн,čelemeken,все,det
13611,чэ̄лэн,čelen,весь,det
13606,чэ̄лэвэн,čelewen,все,det
13213,чӣда,čida,та,det
13943,э̄йду,ejdu,весь,det
13945,э̄йдудюр,ejduďur,все,det
14424,эрдэ,erde,эта,det
14524,эрэк,erek,этот,det
14387,эргидэ,ergide,эта.сторона,det
13701,эвгидэ,ewgide,эта,det
2557,гургэвчилдывунты,gurgewčildɨwuntɨ,наше.орудие.труда,det
4448,икиримэк,ikirimek,одни.кости,det
4932,инӈи,inŋi,твой,det
5179,иргидэ,irgide,какая.сторона,det
5259,иррө̄чин-дэ,irrөčinde,какой.либо,det
14751,я̄кавву,jakawwu,какой,det
14766,я̄лдывун,jaldɨwun,какой,det
14805,я̄ӈи,jaŋi,чей,det
14806,я̄ӈи-да,jaŋida,чей,det
6338,кубэч,kubeč,все.целиком,det
6342,кубэччөн,kubeččөn,все.целиком.полностью,det
7684,мянича̄ндюр,m'aničanďur,все.вдесятером,det
7556,мэ̄нӈий,menŋij,свой,det
7592,мэ̄р,mer,свои,det
7621,мэ̄рмэкчур,mermekčur,одни,det
7623,мэ̄рӈивур,merŋiwur,свой,det
7023,мин,min,мой,det
7037,минӈи,minŋi,мой,det
7346,мунгидэ,mungide,наши.края,det
7359,мунӈи,munŋi,наш,det
7432,мутӈи,mutŋi,наш,det
9601,онсичан,onsičan,такой,det
11367,төнэн,tөnen,все,det
10884,тачия̄кан,tačijakan,такой.как.тот,det
10883,тачиннюн,tačinn'un,кое.как,det
10692,такамӈа,takamŋa,тот.кто.починит,det
11882,тя̄рачимӈа,ťaračimŋa,тот.кто.жарит,det
10826,тарак,tarak,тот.та.то.,det
10825,тара̄в-тит,tarawtit,все.таки.однако,det
10838,таргида,targida,та.сторона,det
10852,таррочин,tarročin,такой,det
12904,уювун,ujuwun,наш,det
12130,уламӈа,ulamŋa,тот.кто.мочит,det
12439,унӈи,unŋi,ваш,det
12701,урэ̄чилтэ,urečilte,все.равно,det
12662,уруку,uruku,тот.кто.промахивается,det
12720,усамӈа,usamŋa,тот,det
12846,ӯтэмӈэ,utemŋe,тот.кто.чинит,det
530,алыке̄,alɨk'e,ах,intj
1347,барланго-дирлэнго,barlangoďirlengo,напевное.слово.в.сказках,intj
3620,дэгэнчө-дэгэнчө,degenčөdegenčө,припев.в.сказке,intj
14497,эрро,erro,ой,intj
13699,э̄в,ew,ах,intj
5080,иӈэникэ̄-э,iŋenikee,ой,intj
4101,ей,jej,эх,intj
5571,как-как,kakkak,кар.кар.крик.вороны,intj
5858,киӈ-киӈ,kiŋkiŋ,динь.динь,intj
7339,мулыке,mulɨk'e,как.жаль,intj
7338,мулунюке,mulun'uk'e,как.жаль,intj
9154,ӈя̄у-ӈя̄у,ŋ'auŋ'au,мяу,intj
8990,ӈо̄ке-е̄,ŋok'eje,фу.о.запахе,intj
9288,ой,oj,эх,intj
11939,удаике̄,udaik'e,нет.терпения,intj
9861,ө̄,ө,скребок.для.выделки.кожи,noun
9863,өбдэ,өbde,селезенка,noun
10312,ө̄чэтэлкэн,өčetelken,косатка,noun
9883,өдэ̄чилэн,өdečilen,кулинар,noun
9882,өдэ̄кчинмэй,өdekčinmej,ложь,noun
9865,өг,өg,острие,noun
9871,өгэк,өgek,острие.западня,noun
9875,өгэрэбэн,өgereben,подъем,noun
9876,өгэрэбэнмэй,өgerebenmej,подъем,noun
9877,өгэрэлдывун,өgereldɨwun,приспособление.для.подъема,noun
9878,өгэрэн,өgeren,подъем,noun
9879,өгэрэнмэй,өgerenmej,подъем,noun
9881,өгэскимчэ,өgeskimče,нижняя.часть.женского.фартука.расшитая,noun
9867,өги,өgi,тетка.жена.младшего брата.отца.или.матери,noun
9891,өин,өin,поверхность,noun
9892,ө̄инде,өinďe,Оинде,noun
9894,ө̄ир,өir,растение.горное,noun
9895,өй,өj,верх,noun
9899,өйдэ,өjde,верхняя.часть,noun
9907,өйдэн,өjden,верх,noun
9884,ө̄ен,өjen,название.реки ,noun
9885,өет,өjet,губа,noun
9896,өйгидэн,өjgiden,верх,noun
9897,өйгилтэ,өjgilte,столбиком,noun
9909,өймукэн,өjmuken,Оймякон.,noun
9921,өкөн,өkөn,корова,noun
9931,өкчигидэ,өkčigide,жаркая.сторона,noun
9932,өкчин,өkčin,нагревание,noun
9933,өкчинмэй,өkčinmej,нагревание,noun
9935,өкэбэ,өkebe,горбуша,noun
9937,өкэл,өkel,пот,noun
9946,өкэлукэчин,өkelukečin,нагревание,noun
9947,өкэлукэчинмэй,өkelukečinmej,нагревание,noun
9942,өкэлукэн,өkeluken,нагревание,noun
9944,өкэлукэнмэй,өkelukenmej,нагревание,noun
9950,өкэн,өken,грудь.женская,noun
9951,өкэн,өken,корова,noun
9952,өкэн,өken,пот,noun
9953,өкэ̄н,өken,желудок,noun
9958,өкэнь,өken',молоко,noun
9954,өкэндюн,өkenďun,хлев,noun
9955,өкэнирук,өkeniruk,посуда.для.молока,noun
9957,өкэнрэ,өkenre,молоки.рыбы,noun
9956,өкэнрэ,өkenre,брюшко.рыбы,noun
9960,ө̄кэӈэ,өkeŋe,гагара,noun
9961,өкэрми,өkermi,ягель.пеновидный,noun
9962,өкэс,өkes,коровья.шкура,noun
9963,өкэтэ,өkete,сосун,noun
9915,өки,өki,пар,noun
9917,ө̄кидек,өkiďek,место,noun
9919,ө̄кимчэ,өkimče,мужское.пальто,noun
9918,ө̄кимчэ,өkimče,костюм,noun
9920,ө̄кин,өkin,разрезание,noun
9923,өкрэ,өkre,поляна,noun
9922,өкри,өkri,грудничок,noun
9925,өкси-н,өksin,жара,noun
9926,өктэ,өkte,желудок,noun
10028,өлэ̄чилэнни,өlečilenni,кулинария,noun
10029,өлэ̄чимӈэ,өlečimŋe,повар,noun
10030,өлэ̄чин,өlečin,стряпня,noun
10031,өлэ̄чинмэй,өlečinmej,стряпня,noun
10016,өлэ̄к,өlek,лгун,noun
10018,өлэ̄кчин,өlekčin,неправда,noun
10019,өлэ̄мдэ,өlemde,кусок.мяса.на.одну.варку,noun
10020,өлэн,өlen,водопад,noun
10021,өлэ̄н,өlen,варка,noun
10022,өлэ̄нмэй,өlenmej,варка,noun
10023,өлэӈчэн,өleŋčen,гора,noun
10024,өлэӈэ,өleŋe,вершина,noun
10026,өлэ̄тэдек,өleteďek,кухня,noun
9971,ө̄лгэ,өlge,край.штанов,noun
9972,өли,өli,край,noun
9973,өлики,өliki,белка,noun
9974,өликис,өlikis,мех.беличий,noun
9982,өлкэн,өlken,грудина,noun
9984,өлкэпу,өlkepu,Белогрудка.кличка,noun
9985,өлкэпу,өlkepu,шкура.медведя.с.солнцем.на.груди,noun
9986,өлкэрэ,өlkere,белогрудый.об.олене,noun
9987,өлкэрэ,өlkere,поляна.в.лесу.над.яром,noun
9981,өлкини,өlkini,Олкэни,noun
9989,өллөчимӈэ,өllөčimŋe,путник,noun
9990,өллөчин,өllөčin,езда,noun
9992,өлмидек,өlmiďek,охота.на белку,noun
9993,өлмикич,өlmikič,место.охоты.на.белку,noun
9994,өлмимкин,өlmimkin,место.по.которому.ведут.на.охоту.на.белку,noun
9995,өлмимӈэ,өlmimŋe,охотник.на.белку,noun
9996,өлмин,өlmin,охота.на.белку,noun
9997,өлминмэй,өlminmej,охота,noun
10001,өлнэ̄дь,өlneď,гость,noun
10002,өлсэк,өlsek,одежда,noun
10012,өлучин,өlučin,погоня,noun
10013,өлучинмэй,өlučinmej,погоня,noun
10006,өлумӈэ,өlumŋe,преследователь,noun
10007,өлун,өlun,погоня,noun
10008,өлунмэй,өlunmej,погоня,noun
10009,өлургэн,өlurgen,Хэлургэн,noun
10034,ө̄м,өm,гнида,noun
10033,өм,өm,кадык,noun
10076,өмчэне,өmčen'e,Омчэне,noun
10081,өмэккэн,өmekken,одинокий.человек,noun
10083,өмэл,өmel,филин,noun
10084,өмэлдукэн,өmelduken,Омэлдукэн.герой.сказок,noun
10085,өмэлтукэн,өmeltuken,Омолтукан,noun
10088,өмэн,өmen,олень.шестилетка,noun
10099,өмэснэ,өmesne,одинокий.человек,noun
10105,өмэтэнэч,өmeteneč,галопом,noun
10038,өмивун,өmiwun,черпак.для.снега,noun
10048,өмниричэн,өmniričen,олененок.самка.до.двух.лет,noun
10058,өмнулдэвкэчин,өmnuldewkečin,объединение,noun
10059,өмнулдэвкэчинмэй,өmnuldewkečinmej,объединение,noun
10056,өмнулдэвкэнмэй,өmnuldewkenmej,объединение,noun
10070,өмӈэты,өmŋetɨ,чайка,noun
10073,өмулдэвкэн,өmuldewken,объединение,noun
10074,өмуснэ,өmusne,одиночка,noun
10107,өн,өn,враг,noun
10108,өн,өn,убийца,noun
10109,ө̄н,өn,подъем.воды.прилив,noun
10112,ө̄не,өn'e,ребенок.от.трех.до.пяти.или.шести.лет.привязываемый.к.седлу.во.время.кочевки,noun
10115,өнегэр,өn'eger,дерево.где.привязывают.оленей,noun
10118,ө̄нелдывун,өn'eldɨwun,вязальный.инструмент,noun
10119,ө̄нен,өn'en,завязывание,noun
10120,ө̄нерук,өn'eruk,олень.для.перевозки.детей.привязанных.к.седлу,noun
10121,ө̄нетиӈ,өn'etiŋ,завязки.шапки,noun
10162,ө̄нэм,өnem,долг,noun
10164,ө̄нэмэч,өnemeč,взаймы,noun
10127,өнкэсэк,өnkesek,вражда,noun
10124,өнки,өnki,носокобови,noun
10126,өнкидэн,өnkiden,удар,noun
10129,өнмэчэк,өnmeček,вражда,noun
10130,өнсэн,өnsen,обида,noun
10133,ө̄нтэ-н,өnten,отличие,noun
10155,ө̄нтэлтэчин,өnteltečin,изменение,noun
10156,өнтэлтэчинмэй,өnteltečinmej,изменение,noun
10149,ө̄нтэлтэкэчин,өnteltekečin,изменение,noun
10150,ө̄нтэлтэкэчинмэй,өnteltekečinmej,изменение,noun
10151,ө̄нтэлтэн,өntelten,изменение,noun
10152,ө̄нтэлтэнмэй,өnteltenmej,изменение,noun
10136,ө̄нтэвмэчин,өntewmečin,видоизменение,noun
10137,ө̄нтэвмэчинмэй,өntewmečinmej,видоизменение,noun
10165,өӈкэ,өŋke,плавник.передний,noun
10177,өӈкэчилдывун,өŋkečildɨwun,форма.для.плавки.металлов,noun
10169,өӈкэлбэн,өŋkelben,струя,noun
10170,өӈкэлбэнмэй,өŋkelbenmej,струя,noun
10172,өӈкэлдывун,өŋkeldɨwun,лейка,noun
10173,өӈкэн,өŋken,поливка,noun
10174,өӈкэнмэй,өŋkenmej,поливка,noun
10179,өӈнэ,өŋne,клин.в.кухлянке.у.воротника.для.расширения,noun
10181,ө̄пкэчэкэг,өpkečekeg,холмистая.местность,noun
10182,ө̄пкэчэн,өpkečen,холм,noun
10183,өр,өr,пещера,noun
10227,өрэгэн,өregen,палец,noun
10228,ө̄рэк,өrek,белка,noun
10233,өрэлдэде̄к,өreldeďek,торжество,noun
10235,өрэлдэн,өrelden,удовольствие,noun
10236,өрэлдэнмэ̄й,өreldenmej,удовольствие,noun
10230,өрэлдэвкэн,өreldewken,удовольствие,noun
10241,өрэн,өren,восторг,noun
10242,өрэн,өren,уход,noun
10245,өрэнмэй,өrenmej,уход,noun
10246,өрэннэ,өrenne,уход,noun
10248,өрэӈчин,өreŋčin,восторг,noun
10249,өрэӈчинмэ̄й,өreŋčinmej,восторг,noun
10226,өрэвэн,өrewen,начало.песни,noun
10187,өри-н,өrin,остановка,noun
10188,өрики,өriki,глухарь,noun
10189,өрикич,өrikič,стойбище.при.перекочевки,noun
10190,өрилэн,өrilen,стойбище.место.постоянного.жительства.многих.людей,noun
10191,өрилэн,өrilen,стойбище,noun
10193,өримкин,өrimkin,место.остановки,noun
10196,өриндидек,өrinďiďek,разбивка.стойбища,noun
10197,өринэ,өrine,Ирина,noun
10200,өриӈчитлэ,өriŋčitle,место.прежней.стоянки,noun
10203,өркэнь,өrken',скука,noun
10205,ө̄рлэ,өrle,нёбо,noun
10210,өрудь,өruď,вожак,noun
10209,өрудек,өruďek,увоз,noun
10211,өрукэ̄н,өruken,посылка,noun
10216,өрун,өrun,побудка,noun
10217,өрун,өrun,увоз,noun
10218,ө̄рун,өrun,лейка.для.свинца.олова,noun
10219,өрунмэй,өrunmej,побудка,noun
10220,өрунмэй,өrunmej,увоз,noun
10221,өрус,өrus,радость,noun
10255,ө̄с,өs,рукав,noun
10265,өсчэн,өsčen,ястреб,noun
10284,өсэчин,өsečin,сомнение,noun
10285,өсэчинмэй,өsečinmej,сомнение,noun
10269,ө̄сэйдэмэчин,өsejdemečin,перебранка,noun
10270,ө̄сэйдэмэчинмэй,өsejdemečinmej,перебранка,noun
10272,өсэлэлдывун,өseleldɨwun,курок,noun
10276,өсэ̄н,өsen,тяжелая.болезнь,noun
10275,өсэн,өsen,птица.рыболов,noun
10277,ө̄сэн,өsen,нарыв,noun
10286,ө̄т,өt,гнида,noun
10303,өтэмэчэк,өtemeček,убой,noun
10302,өтэмэде̄к,өtemeďek,убой,noun
10309,өтэтэ,өtete,лентяй,noun
10289,өтгэн,өtgen,шалаш,noun
10292,өткэ̄н,өtken,сабля,noun
10291,өтки,өtki,утка.крохаль,noun
10295,өтус,өtus,покой,noun
12947,фа̄брика,fabrika,фабрика,noun
12961,фаянс,fajans,фаянс,noun
12948,факел,fak'el,факел,noun
12949,факельщик,fak'elщik,факельщик,noun
12950,факт,fakt,факт,noun
12951,фактория,faktorija,фактория,noun
12952,факультет,fakulťet,факультет,noun
12953,фамилия,familija,фамилия,noun
12956,фанера,fan'era,фанера,noun
12955,фанатик,fanatik,фанатик,noun
12954,фанатизм,fanatizm,фанатизм,noun
12957,фантазер,fantaz'er,фантазер,noun
12958,фантазия,fantazija,фантазия,noun
12959,фара,fara,фара,noun
12960,фашист,fašist,фашист,noun
12971,филиал,filial,филиал,noun
12973,фильм,film,фильм,noun
12972,философ,filosof,философ,noun
12974,фильтр,filtr,фильтр,noun
12975,финал,final,финал,noun
12976,финн,finn,финн,noun
12977,фӣрма,firma,фирма,noun
12978,фитиль,fitil,фитиль,noun
12969,физкультура,fizkultura,физкультура,noun
12970,физкультурник,fizkulturnik,физкультур,noun
12964,федерация,fjeďeracija,федерация,noun
12965,фейерверк,fjejjerw'erk,фейерверк,noun
12966,фельдшер,fjeldš'er,фельдшер,noun
12967,фельетон,fjeljeton,фельетон,noun
12968,ферма,fjerma,ферма,noun
12962,февраль,fjewral,февраль,noun
12984,фляга,fl'aga,фляга,noun
12979,флаг,flag,флаг,noun
12980,флагкакан,flagkakan,флажок,noun
12981,флако̄н,flakon,флакон,noun
12982,фланель,flan'el,фланель,noun
12983,флот,flot,флот,noun
12985,фольклор,folklor,фольклор,noun
12987,фонетика,fon'etika,фонетика,noun
12986,фонарь,fonar',фонарь,noun
12988,фонтан,fontan,фонтан,noun
12989,форма,forma,форма,noun
12990,форточка,fortočka,форточка,noun
12991,фотоальбом,fotoalbom,фотоальбом,noun
12992,фотоаппарат,fotoapparat,фотоаппарат,noun
12993,фотограф,fotograf,фотограф,noun
12996,фотография,fotografija,фотография,noun
12999,француз,francuz,француз,noun
12998,франт,frant,франт,noun
12997,фраза,fraza,фраза,noun
13000,фронт,front,фронт,noun
13001,фронтовик,frontowik,фронтовик,noun
13002,фрукт,frukt,фрукт,noun
13011,фуфайка,fufajka,фуфайка,noun
13003,фундамент,fundam'ent,фундамент,noun
13004,функция,funkcija,функция,noun
13005,фунт,funt,фунт,noun
13006,фуражка,furažka,фуражка,noun
13007,футбол,futbol,футбол,noun
13008,футболист,futbolist,футболист,noun
13009,футболка,futbolka,футболка,noun
13010,футляр,futl'ar,футляр,noun
13017,ха̄юнмай,хajunmaj,поломка,noun
13013,ха̄литгай,хalitgaj,кусок,noun
13014,халкай,хalkaj,остов.сооружения,noun
13015,ха̄нмай,хanmaj,знание,noun
13016,ха̄ӈанмай,хaŋanmaj,кровотечение,noun
13026,хэбденмэй,хebďenmej,развлечение,noun
13027,хэпкэнмэй,хepkenmej,поимка,noun
13019,хилканмай,хilkanmaj,стирка,noun
13018,хе̄нмэй,хjenmej,появление,noun
13021,хуелдэмэчинмэй,хujeldemečinmej,отделение,noun
13022,хукэлунмэй,хukelunmej,перекатывание,noun
13023,хӯнанмай,хunanmaj,пилка,noun
13024,хунмэй,хunmej,название.растения,noun
13025,хупкувунмэй,хupkuwunmej,учение,noun
13030,целлофан,c'ellofan,целлофан,noun
13031,цемент,c'em'ent,цемент,noun
13032,центнер,c'entn'er,центнер,noun
13033,це̄нтр,c'entr,центр,noun
13037,циферблат,cifjerblat,циферблат,noun
13039,цӣфра,cifra,цифра,noun
13038,цӣфра,cifra,цифра,noun
13035,цӣрк,cirk,цирк,noun
13036,цӣркуль,cirkul,циркуль,noun
13040,цыга̄н,cɨgan,цыган,noun
13028,цветок,cw'etok,цветок,noun
13656,ща̄вель,щaw'el,щавель,noun
13658,щӣ,щi,щи,noun
13659,щӣт,щit,щит,noun
13660,щиток,щitok,щиток,noun
13657,щетка,š'etka,щетка,noun
1,а-а,aa,крик,noun
1104,афиша,afiša,афиша,noun
1106,а̄хмат,aхmat,шахматы,noun
1105,а̄хву,aхwu,сумка,noun
5,аба,aba,папа,noun
6,абага,abaga,дедушка,noun
16,абалалтан,abalaltan,убавление,noun
17,абалалтанмай,abalaltanmaj,убавление,noun
12,абалаван,abalawan,нехватка,noun
26,абалчин,abalčin,недостаток,noun
27,абалчинмай,abalčinmaj,недостаток,noun
21,абалӈия,abalŋija,недостаток,noun
29,абан,aban,обветривание,noun
31,абаӈа,abaŋa,безрогий,noun
32,абаӈа,abaŋa,дед,noun
33,абаӈанилчакар,abaŋanilčakar,медвежата,noun
39,абда,abda,капля,noun
42,абдатла,abdatla,лужица,noun
43,абду,abdu,имущество,noun
44,абдукан,abdukan,игрушка,noun
45,абдул,abdul,вещи,noun
47,абдумия,abdumija,ветошь,noun
37,абгин,abgin,появление,noun
49,абрикос,abrikos,абрикос,noun
48,абзац,abzac,абзац,noun
1124,а̄ччалтадяк,aččaltaďak,прекращение,noun
1125,а̄ччалтамӈа,aččaltamŋa,ликвидатор,noun
1126,а̄ччалтан,aččaltan,прекращение,noun
1127,а̄ччалтанмай,aččaltanmaj,прекращение,noun
1112,ачиччи,ačičči,Ачиччи,noun
1113,ачиччиняки,ačiččin'aki,Ачиччи,noun
1109,ачик,ačik,щель,noun
1110,ачилканкан,ačilkankan,ошейник.с.острым.концом,noun
1111,ачин,ačin,жир.нутряной,noun
1114,а̄чкан,ačkan,бедняк,noun
1115,ачурин,ačurin,часть,noun
1117,ачуркача̄н,ačurkačan,росомаха,noun
1116,ачуркан,ačurkan,медведь,noun
1119,ачурмилан,ačurmilan,Ачурмилан,noun
1120,ачурун,ačurun,часть.покрышки.юрты,noun
232,а̄да,ada,стадо,noun
233,а̄да,ada,сообщество,noun
236,адал,adal,сеть,noun
239,адалгин,adalgin,сокращение,noun
240,адалгинмай,adalginmaj,сокращение,noun
243,адан,adan,звук.выстрела,noun
246,ада̄ня,adan'a,задание,noun
253,адарӣн,adarin,стыд,noun
254,адаринма̄й,adarinmaj,стыд,noun
257,адган,adgan,отскакивание,noun
260,адин,aďin,первенец,noun
262,адит,aďit,правда,noun
272,адыкутылди,adɨkutɨlďi,помаленьку,noun
265,адрес,adr'es,адрес,noun
186,аг,ag,стебель,noun
224,агъиӈчин,agiŋčin,мучение,noun
229,агьиӈчидяк,agьiŋčiďak,мучение,noun
230,агьиӈчинмай,agьiŋčinmaj,мучение,noun
189,агалан,agalan,хлопья.падающего.снега,noun
190,аган,agan,точило,noun
192,агдалан,agdalan,дождь.с.перерывами,noun
194,агдан,agdan,старость,noun
196,агданкан,agdankan,белка.летяга,noun
197,агды,agdɨ,гром,noun
198,агды,agdɨ,молния,noun
202,агдылкан,agdɨlkan,гроза,noun
204,агдын,agdɨn,старость,noun
206,агдырап,agdɨrap,время.старости,noun
207,агдыри,agdɨri,гром,noun
212,агитация,agitacija,агитация,noun
210,агитатор,agitator,агитатор,noun
213,агитбригада,agitbrigada,агитбригада,noun
215,агитпункт,agitpunkt,агитпункт,noun
226,агын,agɨn,брусок,noun
220,агрессия,agr'essija,агрессия,noun
221,агроном,agronom,агроном,noun
293,аи,ai,добро,noun
299,аилтан,ailtan,исправление,noun
300,аилтанмай,ailtanmaj,исправление,noun
301,аимчин,aimčin,висок,noun
302,аин,ain,помощь,noun
303,аинмай,ainmaj,помощь,noun
306,аиптиӈ,aiptiŋ,портянки,noun
307,аир,air,гарпун,noun
308,аир,air,перчатки,noun
310,аиркакан,airkakan,часовая.стрелка,noun
312,аирлан,airlan,метание.гарпуна,noun
313,аирланмай,airlanmaj,метание,noun
314,аист,aist,аист,noun
1165,аянна,ajanna,наружная.снежная.завалина,noun
318,айанӈа,ajanŋa,природа,noun
1158,ая̄вмачин,ajawmačin,любовь,noun
1159,ая̄вма̄чинмай,ajawmačinmaj,любовь,noun
1163,ая̄вун,ajawun,любовь,noun
371,айчин,ajčin,помощь,noun
372,айчин,ajčin,улучшение,noun
373,айчинмай,ajčinmaj,улучшение,noun
376,айчумӈа,ajčumŋa,избавитель,noun
377,айчун,ajčun,избавление,noun
378,айчунмай,ajčunmaj,избавление,noun
319,айдит,ajďit,правда,noun
324,айкинду,ajkindu,впору,noun
331,аймата-а,ajmataa,восклицание.испуг,noun
339,аймулдадяк,ajmuldaďak,мир,noun
340,аймулдан,ajmuldan,мир,noun
341,аймулданмай,ajmuldanmaj,мир,noun
337,аймулдавкачин,ajmuldawkačin,примирение,noun
338,аймулдавка̄чинмай,ajmuldawkačinmaj,примирение,noun
333,аймулдавкан,ajmuldawkan,примирение,noun
335,аймулдавка̄нмай,ajmuldawkanmaj,примирение,noun
355,айӈучин,ajŋučin,добро,noun
346,айӈурадяк,ajŋuraďak,приведение.в.порядок,noun
347,айӈуран,ajŋuran,улучшение,noun
348,айӈуранмай,ajŋuranmaj,уборка,noun
350,айӈурчин,ajŋurčin,улучшение,noun
352,айӈурчинмай,ajŋurčinmaj,уборка,noun
357,айон,ajon,залив,noun
360,айсачак,ajsačak,бережливость,noun
361,айсачин,ajsačin,бережливость,noun
362,айсачинмай,ajsačinmaj,бережливость,noun
363,айсберг,ajsb'erg,айсберг,noun
364,айта,ajta,трава,noun
1131,а̄юбан,ajuban,поломка,noun
1132,а̄юбанмай,ajubanmaj,поломка,noun
1149,а̄ючин,ajučin,поломки,noun
1150,а̄ючинмай,ajučinmaj,поломки,noun
1135,а̄юдяк,ajuďak,поломка,noun
1138,а̄юкачин,ajukačin,поломка,noun
1139,а̄юкачинмай,ajukačinmaj,поломка,noun
1136,аюкаг,ajukag,богатый.травами,noun
1142,аюмтук,ajumtuk,высокое.место,noun
1143,аюму,ajumu,седло,noun
1144,а̄юн,ajun,поломка,noun
383,ака,aka,брат,noun
385,акалан,akalan,воротник,noun
388,акамалдывун,akamaldɨwun,преграда,noun
390,акан,akan,старший.брат,noun
392,а̄ка̄н,akan,больной.печенью,noun
391,а̄кан,akan,печень,noun
395,аканун,akanun,братья,noun
396,аканур,akanur,братья,noun
397,акаӈа,akaŋa,брат,noun
398,акапан,akapan,пряжка.из.серебра,noun
399,а̄кар,akar,древесина,noun
400,а̄кар,akar,сахар,noun
405,акаринни,akarinni,чернота,noun
407,а̄киба,akiba,вид.нерпы,noun
410,акмама̄чак,akmamačak,взаимная.братская.любовь,noun
411,акман,akman,любовь.к.старшему.брату,noun
413,актив,aktiw,актив,noun
414,активист,aktiwist,активист,noun
419,акула,akula,акула,noun
420,ал,al,упряжь,noun
533,алюминий,al'uminij,алюминий,noun
524,алфавит,alfawit,алфавит,noun
441,алачин,alačin,ожидание,noun
442,ала̄чинмай,alačinmaj,ожидание,noun
423,алади,alaďi,оладьи,noun
426,алалдакан,alaldakan,игра.с.упряжью,noun
427,алалдака̄н,alaldakan,игра.с.арканом,noun
428,алалдывун,alaldɨwun,панцирь,noun
430,алам-а-н,alaman,нежность,noun
432,а̄лан,alan,знаток,noun
435,а̄ланни,alanni,глубокие.знания,noun
437,алаӈчин,alaŋčin,переход,noun
438,алаӈчинмай,alaŋčinmaj,переход,noun
439,ала̄т,alat,халат,noun
531,альбом,albom,альбом,noun
526,алчалдывут,alčaldɨwut,панцирь,noun
528,алчилдывун,alčildɨwun,защита,noun
457,алдача,aldača,доска,noun
454,алдалдывун,aldaldɨwun,тесло,noun
455,алдас,aldas,гроб,noun
456,алдатла,aldatla,щепа,noun
458,алди,alďi,могила,noun
532,альди,alďi,могила,noun
459,алдисаг,alďisag,кладбище,noun
460,а̄лдывун,aldɨwun,справочник,noun
464,алдюн,alďun,стыд,noun
465,алдюнмай,alďunmaj,стыд,noun
445,а̄лга̄,alga,промнжность,noun
447,алган,algan,ступня,noun
452,алгас,algas,нарост.на дереве,noun
482,аличин,aličin,ненависть,noun
483,аличинмай,aličinmaj,ненависть,noun
467,алик,alik,посуда,noun
472,алиман,aliman,приемка,noun
473,алиманмай,alimanmaj,приемка,noun
475,алинра,alinra,поляна,noun
478,алитмачак,alitmačak,ненависть,noun
479,алитмачин,alitmačin,ненависть,noun
480,алитмачинмай,alitmačinmaj,ненависть,noun
484,алка,alka,молот,noun
487,алкадамӈа,alkadamŋa,кузнец,noun
485,алкаг,alkag,остов.юрты,noun
488,алкамча,alkamča,жерди,noun
492,алма,alma,песня,noun
496,алман,alman,подражание,noun
497,алманмай,almanmaj,подражание,noun
494,алмаз,almaz,алмаз,noun
498,алӈа,alŋa,рога.лося,noun
499,алӈагда,alŋagda,большерогий,noun
503,алӈакачак,alŋakačak,игра.в.лося,noun
501,алӈакан,alŋakan,игрушечный.лось,noun
506,алра,alra,фартук,noun
507,алрамча,alramča,фартук,noun
508,алта,alta,мездра,noun
511,алтар,altar,водная.гладь,noun
513,алтику,altiku,прозвище.Кривошея,noun
516,алтиӈ,altiŋ,подставка,noun
519,алулдывун,aluldɨwun,упряжка,noun
534,а̄м,am,знак,noun
535,а̄м,am,флаг,noun
609,америка,am'erika,американец,noun
610,американец,am'erikan'ec,американец,noun
611,американкан,am'erikankan,американец,noun
537,ама,ama,отец,noun
601,а̄мачин,amačin,знакомство,noun
602,а̄мачинмай,amačinmaj,знакомство,noun
540,амагадяк,amagaďak,удостоверение,noun
